dataset,period_key,period_type,report_year,report_period,report_month,report_quarter,period_start,connecting_itinerary_segment_passengers,connecting_itinerary_segment_share,marketing_carrier_count,nonstop_od_segment_passengers,nonstop_od_segment_share,operating_carrier_count,segment_airport_market,segment_airport_market_bidirectional,segment_city_market,segment_city_market_bidirectional,segment_destination_airport,segment_destination_city_market,segment_destination_wac,segment_origin_airport,segment_origin_city_market,segment_origin_wac,segment_passenger_distance,segment_passengers,segment_passengers_mom_growth,segment_passengers_qoq_growth,segment_passengers_yoy_growth,segment_wac_market,segment_wac_market_bidirectional,weighted_avg_segment_distance,segment_traffic_size_band,segment_distance_band,segment_connection_dependency_band,known_marketing_carrier_passengers,known_operating_carrier_passengers,leader_marketing_carrier,leader_marketing_share_known,leader_operating_carrier,leader_operating_share_known,marketing_carrier_coverage_pct,marketing_carrier_total_passengers,marketing_hhi_known,num_marketing_carriers,num_operating_carriers,operating_carrier_coverage_pct,operating_carrier_total_passengers,operating_hhi_known,top3_marketing_share_known,top3_operating_share_known,known_od_feed_passengers,leader_od_city_market,leader_od_feed_share_known,leader_od_feed_share_total,od_feed_coverage_pct,od_feed_hhi_known,od_market_count,top3_od_feed_share_known,segment_network_importance_score,segment_network_importance_score_available_weight,segment_dependency_risk_score,segment_dependency_risk_score_available_weight,segment_competitive_concentration_score,segment_competitive_concentration_score_available_weight
segments,Q|2023Q1,quarterly,2023,2023Q1,13,1,2023-01-01,518,0.76401179941003,1,160,0.23598820058997,1,PIE-BNA,BNA-PIE,33195-30693,30693-33195,BNA,30693,54,PIE,33195,33,414936,678,13,0.520179372197309,0.734015345268542,33-54,33-54,612,medium,short_haul,connection_dependent,678,678,G4,1,G4,1,1,678,1,1,1,1,678,1,1,1,678,33195-33195,0.392330383480826,0.392330383480826,1,0.339172126939376,8,0.988200589970502,56.6263949598179,1,35.6288473625382,1,37.5934266585514,1
segments,Q|2023Q1,quarterly,2023,2023Q1,13,1,2023-01-01,6,0.857142857142857,1,1,0.142857142857143,1,AUS-PVD,AUS-PVD,30423-30721,30423-30721,PVD,30721,15,AUS,30423,74,11634,7,13,-0.65,0,74-15,15-74,1662,low,medium_haul,connection_dependent,7,7,WN,1,WN,1,1,7,1,1,1,1,7,1,1,1,7,30721-30721,0.428571428571429,0.428571428571429,1,0.306122448979592,4,0.857142857142857,33.8092064016479,1,41.6581147846851,1,37.5934266585514,1
segments,Q|2023Q1,quarterly,2023,2023Q1,13,1,2023-01-01,12,0.666666666666667,1,6,0.333333333333333,1,PVD-HOU,HOU-PVD,30721-31453,30721-31453,HOU,31453,74,PVD,30721,15,28278,18,13,-0.742857142857143,1.57142857142857,15-74,15-74,1571,medium,medium_haul,connection_dependent,18,18,WN,1,WN,1,1,18,1,1,1,1,18,1,1,1,18,31453-31453,0.388888888888889,0.388888888888889,1,0.339506172839506,3,1,40.4707969678027,1,32.3326931731923,1,37.5934266585514,1
segments,Q|2023Q1,quarterly,2023,2023Q1,13,1,2023-01-01,282,0.724935732647815,1,107,0.275064267352185,1,SDF-SFB,SDF-SFB,33044-34761,33044-34761,SFB,34761,33,SDF,33044,52,271522,389,13,-0.0395061728395062,0.0318302387267904,52-33,33-52,698,medium,short_haul,connection_dependent,389,389,G4,1,G4,1,1,389,1,1,1,1,389,1,1,1,389,33044-33044,0.555269922879177,0.555269922879177,1,0.410273524494287,4,0.992287917737789,43.8030664568484,1,43.9946009094286,1,37.5934266585514,1
segments,Q|2023Q1,quarterly,2023,2023Q1,13,1,2023-01-01,6,0.857142857142857,2,1,0.142857142857143,2,SAT-PBI,PBI-SAT,33214-34027,33214-34027,PBI,34027,33,SAT,33214,74,7966,7,13,0,13,74-33,33-74,1138,low,medium_haul,connection_dependent,6,6,WN,1,WN,1,0.857142857142857,7,1,1,1,0.857142857142857,7,1,1,1,7,34027-34027,0.428571428571429,0.428571428571429,1,0.306122448979592,4,0.857142857142857,33.8013531458805,0.85,41.6581147846851,1,37.5934266585514,1
