dataset,period_key,period_type,report_year,report_period,report_month,report_quarter,period_start,connecting_itinerary_segment_passengers,connecting_itinerary_segment_share,marketing_carrier_count,nonstop_od_segment_passengers,nonstop_od_segment_share,operating_carrier_count,segment_airport_market,segment_airport_market_bidirectional,segment_city_market,segment_city_market_bidirectional,segment_destination_airport,segment_destination_city_market,segment_destination_wac,segment_origin_airport,segment_origin_city_market,segment_origin_wac,segment_passenger_distance,segment_passengers,segment_passengers_mom_growth,segment_passengers_qoq_growth,segment_passengers_yoy_growth,segment_wac_market,segment_wac_market_bidirectional,weighted_avg_segment_distance,segment_traffic_size_band,segment_distance_band,segment_connection_dependency_band
segments,Q|2025Q3,quarterly,2025,2025Q3,13,3,2025-07-01,10,1,1,0,0,1,SAV-TYS,SAV-TYS,34685-35412,34685-35412,TYS,35412,54,SAV,34685,34,3000,10,13,0.666666666666667,0.666666666666667,34-54,34-54,300,medium,short_haul,connection_dependent
segments,Q|2025Q3,quarterly,2025,2025Q3,13,3,2025-07-01,10,1,1,0,0,1,SGF-TUL,SGF-TUL,34783-34653,34653-34783,TUL,34653,73,SGF,34783,64,1560,10,13,0.25,4,64-73,64-73,156,medium,short_haul,connection_dependent
segments,Q|2025Q3,quarterly,2025,2025Q3,13,3,2025-07-01,10,1,1,0,0,1,MDT-ABE,ABE-MDT,32070-30135,30135-32070,ABE,30135,23,MDT,32070,23,760,10,13,-0.285714285714286,-0.285714285714286,23-23,23-23,76,medium,short_haul,connection_dependent
segments,Q|2025Q3,quarterly,2025,2025Q3,13,3,2025-07-01,6,0.6,2,4,0.4,2,HOU-PDX,HOU-PDX,31453-34057,31453-34057,PDX,34057,92,HOU,31453,74,18440,10,13,0,0,74-92,74-92,1844,medium,medium_haul,connection_dependent
segments,Q|2025Q3,quarterly,2025,2025Q3,13,3,2025-07-01,5,0.5,1,5,0.5,1,MRI-TEK,MRI-TEK,30299-35171,30299-35171,TEK,35171,1,MRI,30299,1,1080,10,13,0.111111111111111,0.111111111111111,1-1,1-1,108,medium,short_haul,mixed
