dataset,period_key,period_type,report_year,report_period,origin_city_market,destination_city_market,od_city_market,passengers,nonstop_passengers,connecting_passengers,nonstop_pct,connection_pct,weighted_avg_num_segments,itinerary_type_known_passengers,itinerary_type_coverage_pct,nonstop_share,one_stop_share,two_stop_share,three_plus_share,itinerary_weighted_avg_fare,num_segments_known_passengers,num_segments_coverage_pct,share_1_segment,share_2_segments,share_3plus_segments,avg_num_segments_calc,connecting_share,friction_score_raw
itineraries,M|2025-07,monthly,2025,2025-07,31423,31423,31423-31423,25374,0,25374,0,1,2.89059667376054,25374,1,0,0.56526365571057,0.0140301095609679,0.420706234728462,374.892882872231,25374,1,0,0.56526365571057,0.43473634428943,2.89059667376054,1,2
itineraries,M|2025-07,monthly,2025,2025-07,31650,30135,31650-30135,24,0,24,0,1,2.04166666666667,24,1,0,0.958333333333333,0.0416666666666667,0,483.347083333333,24,1,0,0.958333333333333,0.0416666666666667,2.04166666666667,1,2
itineraries,M|2025-07,monthly,2025,2025-07,30466,30615,30466-30615,613,580,33,0.946166394779772,0.0538336052202284,1.07830342577488,613,1,0.946166394779772,0.0358890701468189,0.0114192495921697,0.0065252854812398,207.877194127243,613,1,0.946166394779772,0.0358890701468189,0.0179445350734095,1.07830342577488,0.0538336052202284,0.107667210440457
itineraries,M|2025-07,monthly,2025,2025-07,34819,33214,34819-33214,868,253,615,0.29147465437788,0.70852534562212,1.71889400921659,868,1,0.29147465437788,0.699308755760369,0.00806451612903226,0.00115207373271889,229.082592165899,868,1,0.29147465437788,0.699308755760369,0.00921658986175115,1.71889400921659,0.70852534562212,1.41705069124424
itineraries,M|2025-07,monthly,2025,2025-07,30466,31504,30466-31504,150,0,150,0,1,2.02,150,1,0,0.98,0.02,0,226.7262,150,1,0,0.98,0.02,2.02,1,2
