dataset,period_key,period_type,report_year,report_period,report_month,report_quarter,period_start,avg_fare,avg_fare_mom_change,avg_fare_qoq_change,connecting_passengers,connection_pct,destination_city_market,net_amount_approx,net_avg_fare,nonstop_passengers,nonstop_pct,od_city_market,od_city_market_bidirectional,origin_city_market,passenger_distance,passengers,passengers_mom_growth,passengers_qoq_growth,passengers_yoy_growth,tax_amount,total_amount,weighted_avg_num_segments,weighted_avg_total_distance,yield_gross,yield_net,issue_carrier_coverage_pct,issue_hhi,issue_total_passengers,known_issue_carrier_passengers,known_marketing_carrier_passengers,known_operating_carrier_passengers,known_reporting_carrier_passengers,leader_issue_carrier,leader_issue_share,leader_marketing_carrier,leader_marketing_share,leader_operating_carrier,leader_operating_share,leader_reporting_carrier,leader_reporting_share,marketing_carrier_coverage_pct,marketing_hhi,marketing_total_passengers,num_issue_carriers,num_marketing_carriers,num_operating_carriers,num_reporting_carriers,operating_carrier_coverage_pct,operating_hhi,operating_total_passengers,reporting_carrier_coverage_pct,reporting_hhi,reporting_total_passengers,top3_issue_share,top3_marketing_share,top3_operating_share,top3_reporting_share,avg_num_segments_calc,connecting_share,friction_score_raw,itinerary_type_coverage_pct,itinerary_type_known_passengers,itinerary_weighted_avg_fare,nonstop_share,num_segments_coverage_pct,num_segments_known_passengers,one_stop_share,share_1_segment,share_2_segments,share_3plus_segments,three_plus_share,two_stop_share,known_purchase_window_passengers,purchase_window_2190_avg_fare,purchase_window_2190_share,purchase_window_21ap_avg_fare,purchase_window_21ap_share,purchase_window_2290_avg_fare,purchase_window_2290_share,purchase_window_91up_avg_fare,purchase_window_91up_share,purchase_window_known_share,purchase_window_total_passengers,avg_quarter_passengers,observations,peak_quarter,seasonality_index,seasonality_volatility,direct_route_opportunity_score,direct_route_opportunity_score_available_weight,premium_market_score,premium_market_score_available_weight,business_market_score,business_market_score_available_weight,competitive_risk_score,competitive_risk_score_available_weight
itineraries,M|2025-08,monthly,2025,2025-08,8,13,2025-08-01,331.366453991527,-11.7033851420453,13,119478,1,31454,33355690.3300001,279.178512613201,0,0,31454-31454,31454-31454,31454,288363341,119478,-0.137342960288809,13,13,6235310.86000005,39591001.1899996,2.35819983595306,2413.52668273657,0.137295541980836,0.115672436774826,1,0.140366346269244,119478,119478,119478,119478,119478,WN,0.204012454175664,WN,0.204012454175664,WN,0.204012454175664,WN,0.204012454175664,1,0.14044040024869,119478,21,15,16,15,1,0.139870532908366,119478,1,0.140449424281462,119478,0.520296623646194,0.520346842096453,0.518840288588694,0.520296623646194,2.35819983595306,1,2,1,119478,331.366453991523,0,1,119478,0.805495572406635,0,0.805495572406635,0.194504427593364,0.154237600227657,0.0402668273657075,119478,13,0,380.812358682611,0.460486449388172,274.709039302927,0.451463867825039,363.275785171103,0.0880496827867892,1,119478,13,13,13,13,13,50.2663942603606,0.85,44.8846989035858,1,31.1133922851466,1,0.00140974793706885,1
itineraries,M|2025-08,monthly,2025,2025-08,8,13,2025-08-01,320.045376511106,-5.4233748849656,13,118456,1,33195,31828389.22,268.693770007429,0,0,33195-33195,33195-33195,33195,268458831,118456,-0.157334623291813,13,13,6082905.90000005,37911295.1199996,2.42437698385899,2266.31686871074,0.141218282813723,0.118559665560043,1,0.137405648531079,118456,118456,118456,118456,118456,WN,0.219457013574661,WN,0.219457013574661,WN,0.219457013574661,WN,0.219457013574661,1,0.137418169640295,118456,20,13,14,17,1,0.135971209067485,118456,1,0.137418564314574,118456,0.550398460187749,0.5504406699534,0.545265752684541,0.55042378604714,2.42437698385899,1,2,1,118456,320.045376511105,0,1,118456,0.774084892280678,0,0.774084892280678,0.225915107719322,0.187166542851354,0.0387485648679678,118456,13,0,362.03944724164,0.466114000135071,269.794000680902,0.446334503950834,352.653598495806,0.0875514959140947,1,118456,13,13,13,13,13,49.878969302706,0.85,44.0069115990188,1,30.0166280704169,1,0.00310144546155147,1
itineraries,M|2025-08,monthly,2025,2025-08,8,13,2025-08-01,400.835124949702,-15.6616687803342,13,44738,1,30529,15255120.89,340.9879943225,0,0,30529-30529,30529-30529,30529,114512450,44738,0.00611703323887913,13,13,2677440.93,17932561.8199998,2.80341097053959,2559.62380973669,0.156599232834506,0.133218011578654,1,0.156452231162397,44738,44738,44738,44738,44738,AA,0.219254325182172,AA,0.219299029907461,DL,0.179712995663642,AA,0.219254325182172,1,0.156495702805496,44738,12,10,16,12,1,0.137679527099031,44738,1,0.156452231162397,44738,0.558943180294157,0.55909964683267,0.514886673521391,0.558943180294157,2.80341097053959,1,2,1,44738,400.835124949706,0,1,44738,0.60199383074791,0,0.60199383074791,0.39800616925209,0.373619741606688,0.0243864276454021,44738,13,0,493.567587014302,0.353212034512048,340.337000045214,0.494367204613528,382.163569438334,0.152420760874424,1,44738,13,13,13,13,13,54.4434873165098,0.85,54.3661847667923,1,42.9751178497142,1,0.00441721020281574,1
itineraries,M|2025-08,monthly,2025,2025-08,8,13,2025-08-01,137.578223008544,-3.72110756865436,13,412,0.0355570898420644,31454,1330936.39,114.864623284716,11175,0.964442910157936,30852-31454,30852-31454,30852,9104722,11587,-0.0787883606296709,13,13,263182.48,1594118.87,1.03875032363856,785.770432381117,0.175087044942174,0.146180892727971,1,0.16812135842145,11587,11587,11587,11587,11587,WN,0.282040217485113,WN,0.282040217485113,WN,0.282040217485113,WN,0.282040217485113,1,0.168566603745047,11587,16,8,13,13,1,0.167955126946124,11587,1,0.168226051925222,11587,0.56606541814102,0.566928454302235,0.565461292828169,0.566324328989385,1.03875032363856,0.0355570898420644,0.0711141796841288,1,11587,137.578223008544,0.964442910157936,1,11587,0.033658410287391,0.964442910157936,0.033658410287391,0.00189867955467334,0.00103564339345819,0.000863036161215155,11587,13,0,176.577305378627,0.487788038318806,95.744683219178,0.40321049451972,117.802676167854,0.109001467161474,1,11587,13,13,13,13,13,35.67718108933,0.85,31.9749605941457,1,15.0349588957244,1,0.152910659574068,1
itineraries,M|2025-08,monthly,2025,2025-08,8,13,2025-08-01,229.995151975684,2.53814842958451,13,520,0.790273556231003,34057,127907.47,194.388252279635,138,0.209726443768997,32337-34057,32337-34057,32337,1347227,658,0.166666666666667,13,13,23429.34,151336.81,1.80243161094225,2047.45744680851,0.112332079152214,0.0949412905174852,1,0.161907225543001,658,658,658,658,658,G4,0.209726443768997,G4,0.209726443768997,G4,0.209726443768997,G4,0.209726443768997,1,0.161121940854205,658,9,9,15,9,1,0.136149887750483,658,1,0.161907225543001,658,0.580547112462006,0.577507598784195,0.548632218844985,0.580547112462006,1.80243161094225,0.790273556231003,1.58054711246201,1,658,229.995151975684,0.209726443768997,1,658,0.785714285714286,0.209726443768997,0.785714285714286,0.00455927051671732,0.00455927051671732,0,658,13,0,258.829514563107,0.469604863221884,192.437854545455,0.417933130699088,249.163243243243,0.112462006079027,1,658,13,13,13,13,13,37.0107434066947,0.85,29.4525679834405,1,12.7057308435701,1,0.00545102535666623,1
