dataset,period_key,period_type,report_year,report_period,report_month,report_quarter,period_start,avg_fare,avg_fare_mom_change,avg_fare_qoq_change,connecting_passengers,connection_pct,destination_city_market,net_amount_approx,net_avg_fare,nonstop_passengers,nonstop_pct,od_city_market,od_city_market_bidirectional,origin_city_market,passenger_distance,passengers,passengers_mom_growth,passengers_qoq_growth,passengers_yoy_growth,tax_amount,total_amount,weighted_avg_num_segments,weighted_avg_total_distance,yield_gross,yield_net
itineraries,M|2025-09,monthly,2025,2025-09,9,13,2025-09-01,687.9,13,13,2,1,33970,1258.61,629.305,0,0,30073-33970,30073-33970,30073,2350,2,13,13,13,117.19,1375.8,2,1175,0.585446808510638,0.535578723404255
itineraries,M|2025-12,monthly,2025,2025-12,12,13,2025-12-01,840.21,152.31,13,1,1,33970,768.38,768.38,0,0,30073-33970,30073-33970,30073,1175,1,-0.5,13,13,71.83,840.21,2,1175,0.715072340425532,0.653940425531915
itineraries,M|2025-07,monthly,2025,2025-07,7,13,2025-07-01,204.568260869565,13,13,23,1,32211,4072.65,177.071739130435,0,0,30135-32211,30135-32211,30135,52737,23,13,13,13,632.42,4705.07,2.08695652173913,2292.91304347826,0.0892176270929329,0.077225666989021
itineraries,M|2025-08,monthly,2025,2025-08,8,13,2025-08-01,344.930769230769,140.362508361204,13,26,1,32211,7910.72,304.258461538461,0,0,30135-32211,30135-32211,30135,60496,26,0.130434782608696,13,13,1057.48,8968.2,2.03846153846154,2326.76923076923,0.148244512033853,0.13076434805607
itineraries,M|2025-09,monthly,2025,2025-09,9,13,2025-09-01,345.679677419355,0.748908188585631,13,31,1,32211,9423,303.967741935484,0,0,30135-32211,30135-32211,30135,71936,31,0.192307692307692,13,13,1293.07,10716.07,2.03225806451613,2320.51612903226,0.148966720418149,0.13099143683274
