dataset,period_key,period_type,report_year,report_period,origin_city_market,destination_city_market,od_city_market,marketing_total_passengers,known_marketing_carrier_passengers,marketing_carrier_coverage_pct,leader_marketing_carrier,leader_marketing_share,num_marketing_carriers,marketing_hhi,top3_marketing_share,operating_total_passengers,known_operating_carrier_passengers,operating_carrier_coverage_pct,leader_operating_carrier,leader_operating_share,num_operating_carriers,operating_hhi,top3_operating_share,issue_total_passengers,known_issue_carrier_passengers,issue_carrier_coverage_pct,leader_issue_carrier,leader_issue_share,num_issue_carriers,issue_hhi,top3_issue_share,reporting_total_passengers,known_reporting_carrier_passengers,reporting_carrier_coverage_pct,leader_reporting_carrier,leader_reporting_share,num_reporting_carriers,reporting_hhi,top3_reporting_share
itineraries,M|2025-10,monthly,2025,2025-10,33044,30747,33044-30747,7,7,1,UA,0.714285714285714,2,0.591836734693878,1,7,7,1,YV,0.571428571428571,3,0.428571428571429,1,7,7,1,UA,0.714285714285714,2,0.591836734693878,1,7,7,1,UA,0.714285714285714,2,0.591836734693878,1
itineraries,M|2025-10,monthly,2025,2025-10,33044,32397,33044-32397,1,1,1,UA,1,1,1,1,1,1,1,YV,1,1,1,1,1,1,1,UA,1,1,1,1,1,1,1,UA,1,1,1,1
itineraries,M|2025-10,monthly,2025,2025-10,33044,34027,33044-34027,141,141,1,DL,0.425531914893617,4,0.327699813892661,0.964539007092199,141,141,1,DL,0.411347517730496,8,0.279814898646949,0.865248226950355,141,141,1,DL,0.425531914893617,4,0.327699813892661,0.964539007092199,141,141,1,DL,0.425531914893617,4,0.327699813892661,0.964539007092199
itineraries,M|2025-10,monthly,2025,2025-10,33044,34828,33044-34828,1,1,1,AS,1,1,1,1,1,1,1,AA,1,1,1,1,1,1,1,AS,1,1,1,1,1,1,1,AS,1,1,1,1
itineraries,M|2025-10,monthly,2025,2025-10,33076,32600,33076-32600,1,1,1,AA,1,1,1,1,1,1,1,MQ,1,1,1,1,1,1,1,AA,1,1,1,1,1,1,1,AA,1,1,1,1
