dataset,period_key,period_type,report_year,report_period,report_month,report_quarter,period_start,avg_fare,destination_airport,od_airport_market,od_airport_market_bidirectional,origin_airport,passengers,tax_amount,total_amount,airport_pair_avg_fare_calc
itineraries,M|2025-07,monthly,2025,2025-07,7,13,2025-07-01,385.555889751056,DEN,DEN-DEN,DEN-DEN,DEN,259685,13753489.7599999,100123081.230003,385.555889751056
itineraries,M|2025-07,monthly,2025,2025-07,7,13,2025-07-01,227.943034682081,SNA,PDX-SNA,PDX-SNA,PDX,1384,43139.16,315473.16,227.943034682081
itineraries,M|2025-07,monthly,2025,2025-07,7,13,2025-07-01,428.923620353934,BOS,BOS-BOS,BOS-BOS,BOS,162288,9316430.01999998,69609156.4999992,428.923620353934
itineraries,M|2025-07,monthly,2025,2025-07,7,13,2025-07-01,209.951147918105,SJC,SEA-SJC,SEA-SJC,SEA,4347,122320.84,912657.640000002,209.951147918105
itineraries,M|2025-07,monthly,2025,2025-07,7,13,2025-07-01,484.266037735849,LAS,JNU-LAS,JNU-LAS,JNU,53,2899.21,25666.1,484.266037735849
